date,subs
2022-07-03,6472
2022-07-04,6428
2022-07-05,6560
2022-07-06,6423
2022-07-07,6512
2022-07-08,6557
2022-07-09,6610
2022-07-10,6765
2022-07-11,6371
2022-07-12,7607
2022-07-13,6267
2022-07-14,6974
2022-07-15,6705
2022-07-16,6905
2022-07-17,6596
2022-07-18,6311
2022-07-19,6530
2022-07-20,7324
2022-07-21,8538
2022-07-22,7557
2022-07-23,8223
2022-07-24,7105
2022-07-25,6554
2022-07-26,7204
2022-07-27,7396
2022-07-28,7152
2022-07-29,7187
2022-07-30,6442
2022-07-31,6289
2022-08-01,6650
2022-08-02,7157
2022-08-03,6713
2022-08-04,7026
2022-08-05,7228
2022-08-06,9733
2022-08-07,8322
2022-08-08,6732
2022-08-09,6872
2022-08-10,6919
2022-08-11,8549
2022-08-12,6979
2022-08-13,8226
2022-08-14,7149
2022-08-15,6708
2022-08-16,6878
2022-08-17,6820
2022-08-18,6571
2022-08-19,7330
2022-08-20,7839
2022-08-21,7831
2022-08-22,7850
2022-08-23,7122
2022-08-24,6700
2022-08-25,7256
2022-08-26,7609
2022-08-27,7615
2022-08-28,7848
2022-08-29,6574
2022-08-30,6985
2022-08-31,7363
2022-09-01,8434
2022-09-02,7933
2022-09-03,8694
2022-09-04,8133
2022-09-05,7631
2022-09-06,7702
2022-09-07,7859
2022-09-08,6993
2022-09-09,6878
2022-09-10,8434
2022-09-11,7165
2022-09-12,7382
2022-09-13,7308
2022-09-14,7346
2022-09-15,7045
2022-09-16,7705
2022-09-17,8127
2022-09-18,7565
2022-09-19,6886
2022-09-20,7324
2022-09-21,7938
2022-09-22,7330
2022-09-23,7322
2022-09-24,7215
2022-09-25,7642
2022-09-26,6793
2022-09-27,7486
2022-09-28,6946
2022-09-29,7176
2022-09-30,8998
2022-10-01,9607
2022-10-02,9160
2022-10-03,7250
2022-10-04,7771
2022-10-05,8675
2022-10-06,8563
2022-10-07,8075
2022-10-08,8415
2022-10-09,8604
2022-10-10,7239
2022-10-11,8313
2022-10-12,8475
2022-10-13,8724
2022-10-14,7927
2022-10-15,8467
2022-10-16,9404
2022-10-17,7823
2022-10-18,8445
2022-10-19,8489
2022-10-20,8308
2022-10-21,8418
2022-10-22,8205
2022-10-23,7894
2022-10-24,7708
