"","date","subs"
"451",2022-07-14,6974
"452",2022-07-15,6705
"453",2022-07-16,6905
"454",2022-07-17,6596
"455",2022-07-18,6311
"456",2022-07-19,6530
"457",2022-07-20,7324
"458",2022-07-21,8538
"459",2022-07-22,7557
"460",2022-07-23,8223
"461",2022-07-24,7105
"462",2022-07-25,6554
"463",2022-07-26,7204
"464",2022-07-27,7396
"465",2022-07-28,7152
"466",2022-07-29,7187
"467",2022-07-30,6442
"468",2022-07-31,6289
"469",2022-08-01,6650
"470",2022-08-03,6713
"471",2022-08-04,7026
"472",2022-08-05,7228
"473",2022-08-06,9733
"474",2022-08-07,8322
"475",2022-08-08,6732
"476",2022-08-09,6872
"477",2022-08-10,6919
"478",2022-08-11,8549
"479",2022-08-12,6979
"480",2022-08-13,8226
"481",2022-08-14,7149
"482",2022-08-15,6708
"483",2022-08-16,6878
"484",2022-08-17,6820
"485",2022-08-18,6571
"486",2022-08-19,7330
"487",2022-08-20,7839
"488",2022-08-21,7831
"489",2022-08-22,7850
"490",2022-08-23,7122
"491",2022-08-24,6700
"492",2022-08-25,7256
"493",2022-08-26,7609
"494",2022-08-27,7615
"495",2022-08-28,7848
"496",2022-08-29,6574
"497",2022-08-30,6985
"498",2022-08-31,7363
"499",2022-09-01,8434
"500",2022-09-02,7933
"501",2022-09-03,8694
"502",2022-09-04,8133
"503",2022-09-05,7631
"504",2022-09-06,7702
"505",2022-09-07,7859
"506",2022-09-08,6993
"507",2022-09-09,6878
"508",2022-09-10,8434
"509",2022-09-11,7165
"510",2022-09-12,7382
"511",2022-09-13,7308
"512",2022-09-14,7346
"513",2022-09-15,7045
"514",2022-09-16,7705
"515",2022-09-17,8127
"516",2022-09-18,7565
"517",2022-09-19,6886
"518",2022-09-20,7324
"519",2022-09-21,7938
"520",2022-09-22,7330
"521",2022-09-23,7322
"522",2022-09-24,7215
"523",2022-09-25,7642
"524",2022-09-26,6793
"525",2022-09-27,7486
"526",2022-09-28,6946
"527",2022-09-29,7176
"528",2022-09-30,8998
"529",2022-10-01,9607
"530",2022-10-02,9160
"531",2022-10-03,7250
"532",2022-10-04,7771
"533",2022-10-05,8675
"534",2022-10-06,8563
"535",2022-10-07,8075
"536",2022-10-08,8415
"537",2022-10-09,8604
"538",2022-10-10,7239
"539",2022-10-11,8313
"540",2022-10-12,8475
"541",2022-10-13,8724
"542",2022-10-14,7927
"543",2022-10-15,8467
"544",2022-10-16,9404
"545",2022-10-17,7823
"546",2022-10-19,8489
"547",2022-10-20,8308
"548",2022-10-21,8418
"549",2022-10-23,7894
"550",2022-10-24,7708
"551",2022-10-25,8327
"552",2022-10-26,8437
"553",2022-10-27,8544
"554",2022-10-28,8059
"555",2022-10-29,8777
"556",2022-10-30,7475
"557",2022-10-31,6582
"558",2022-11-01,8461
"559",2022-11-02,8642
"560",2022-11-03,8809
"561",2022-11-04,9075
"562",2022-11-05,9423
"563",2022-11-06,10081
"564",2022-11-07,7878
"565",2022-11-08,9708
"566",2022-11-09,8788
"567",2022-11-10,9190
"568",2022-11-11,9138
"569",2022-11-12,9957
"570",2022-11-13,9275
"571",2022-11-14,8248
"572",2022-11-15,9497
"573",2022-11-16,9157
"574",2022-11-17,8590
"575",2022-11-18,8796
"576",2022-11-19,9612
"577",2022-11-20,11059
"578",2022-11-21,9790
"579",2022-11-22,10105
"580",2022-11-23,9248
"581",2022-11-24,9042
"582",2022-11-25,9042
"583",2022-11-26,8998
