date,subs,comedy,drama,show,gala,talkshow,gameshow,music
3/16/2022,7017,0,2,0,0,0,0,0
3/17/2022,5067,0,2,0,0,0,0,0
3/18/2022,6453,0,2,0,0,0,0,0
3/19/2022,6064,0,2,0,0,0,0,0
3/20/2022,5746,0,2,0,0,0,0,0
3/21/2022,5310,0,2,0,0,0,0,0
3/22/2022,5491,0,2,0,0,0,0,0
3/23/2022,5398,0,2,0,0,0,0,0
3/24/2022,6031,0,2,0,0,0,0,0
3/25/2022,5398,0,2,0,0,0,0,0
3/26/2022,5664,0,2,0,0,0,0,0
3/27/2022,6360,0,2,0,0,0,0,0
3/28/2022,5327,0,2,0,0,0,0,0
3/29/2022,4543,0,2,0,0,0,0,0
3/30/2022,4209,0,2,0,0,0,0,0
3/31/2022,4667,0,2,0,0,0,0,0
4/1/2022,5741,0,2,0,0,0,0,0
4/2/2022,6390,0,2,0,0,0,0,0
4/3/2022,5763,0,2,0,0,0,0,0
4/4/2022,5738,0,2,0,0,0,0,0
4/5/2022,5458,0,2,0,0,0,0,0
4/6/2022,5491,0,2,0,0,0,0,0
4/7/2022,5212,0,2,0,0,0,0,0
4/8/2022,5168,0,2,0,0,0,0,0
4/9/2022,6116,0,2,0,0,0,0,0
4/10/2022,6316,0,2,0,0,0,0,0
4/11/2022,5678,0,2,0,0,0,0,0
4/12/2022,5352,0,2,0,0,0,0,0
4/13/2022,5154,0,2,0,0,0,0,0
4/14/2022,5280,0,2,0,0,0,0,0
4/15/2022,7083,0,2,0,0,0,0,0
4/16/2022,9505,0,2,0,0,0,0,0
4/17/2022,8287.5,0,2,0,0,0,0,0
4/18/2022,7070,0,2,0,0,0,0,0
4/19/2022,7459,0,2,0,0,0,0,0
4/20/2022,8966,0,2,0,0,0,0,0
4/21/2022,8103,0,2,0,0,0,0,0
4/22/2022,7141,0,2,0,0,0,0,0
4/23/2022,8483,0,2,0,0,0,0,0
4/24/2022,7316,0,2,0,0,0,0,0
4/25/2022,6395,0,2,0,0,0,0,0
4/26/2022,6760,0,2,0,0,0,0,0
4/27/2022,5519,0,2,0,0,0,0,0
4/28/2022,6141,0,2,0,0,0,0,0
4/29/2022,5932,0,2,0,0,0,0,0
4/30/2022,8853,0,2,0,0,0,0,0
5/1/2022,7927,0,2,2,0,0,0,0
5/2/2022,6900,0,2,2,0,0,0,0
5/3/2022,6708,0,2,2,0,0,0,0
5/4/2022,6379,0,2,2,0,0,0,0
5/5/2022,6195,0,2,2,0,0,0,0
5/6/2022,5716,0,2,2,0,0,0,0
5/7/2022,6269,0,2,2,0,0,0,0
5/8/2022,6152,0,2,2,0,0,0,0
5/9/2022,5398,0,2,2,0,0,0,0
5/10/2022,5774,0,2,2,0,0,0,0
5/11/2022,5878,0,2,2,0,0,0,0
5/12/2022,5705,0,2,2,0,0,0,0
